datetime,renewable_total_mwh,prediction_mwh,absolute_error,error_mwh
2025-11-13,799701.93,804074.97,31633.242148437494,-4373.039999999921
2025-11-14,412832.02,411935.5215,23129.2917578125,896.4985000000452
2025-11-15,594680.23,606050.318,18832.5252734375,-11370.087999999989
2025-11-16,302350.18,304455.364,9081.999843750005,-2105.1840000000084
2025-11-17,567697.97,566653.04,24275.611640625004,1044.9299999999348
2025-11-18,652008.08,656419.517,11903.929453125005,-4411.4370000000345
2025-11-19,522594.26,531977.576,20085.901875000003,-9383.315999999992
2025-11-20,377374.85000000003,388875.75549999997,14249.626621093752,-11500.905499999935
2025-11-21,268260.82,267953.0167,9585.6238671875,307.8033000000287
2025-11-22,575625.14,574029.067,15799.984843750006,1596.0729999999749
2025-11-23,782642.35,772724.2660000001,23078.813671874996,9918.083999999915
2025-11-24,425660.0,440513.186,18726.825156250008,-14853.185999999987
2025-11-25,161395.19,166911.2785,10554.39849609375,-5516.0884999999835
2025-11-26,194521.02,196441.7949,10113.311992187504,-1920.7749000000185
2025-11-27,754533.8300000001,744285.2119999999,15047.719414062485,10248.618000000133
2025-11-28,698126.24,704851.338,15396.602968749994,-6725.097999999998
2025-11-29,534609.97,536507.856,13152.228203125003,-1897.8860000000568
2025-11-30,625125.42,635319.187,15211.09976562499,-10193.766999999993
2025-12-01,728447.9400000001,722060.9,11835.314609375022,6387.040000000037
2025-12-02,594520.6,608468.241,20817.12744140625,-13947.641000000061
2025-12-03,148658.21,157342.1609,11768.484658203122,-8683.950899999996
2025-12-04,223671.69,228119.1005,12002.22140625,-4447.410499999998
2025-12-05,159609.59,155751.8562,7435.12959960937,3857.7337999999872
2025-12-06,748078.79,750943.887,12004.02875000002,-2865.0969999999506
2025-12-07,636989.39,636291.7509999999,24100.745429687482,697.6390000000829
2025-12-08,882030.89,892160.798,19708.111874999984,-10129.907999999938
2025-12-09,646641.7,643256.448,21968.65132812501,3385.2519999999786
2025-12-10,747199.73,753793.539,20928.082343750008,-6593.809000000008
2025-12-11,645020.5599999999,657232.117,19530.102265625002,-12211.55700000003
2025-12-12,236929.12,246216.3786,16512.899335937498,-9287.258600000001
2025-12-13,348806.27,352670.76399999997,17048.5466796875,-3864.493999999948
2025-12-14,575283.09,579990.549,14305.321718749998,-4707.459000000032
2025-12-15,639905.56,636760.99,17654.441093750018,3144.570000000065
2025-12-16,392043.23,406076.058,21609.6903515625,-14032.828000000038
2025-12-17,352955.68,353808.434,15856.345624999994,-852.7540000000154
2025-12-18,888561.09,879863.38,17940.319999999978,8697.709999999963
2025-12-19,705784.27,732540.311,30719.819648437493,-26756.04099999997
2025-12-20,220949.78,225740.2493,10291.710449218752,-4790.469299999997
2025-12-21,536254.08,522848.239,17472.048007812504,13405.840999999957
2025-12-22,693835.89,694764.094,9872.421328124998,-928.204000000027
2025-12-23,872489.96,863182.163,16132.627812499992,9307.79700000002
2025-12-24,873883.16,868932.096,20389.188671874992,4951.064000000013
2025-12-25,585380.31,587864.697,20648.413398437482,-2484.386999999988
2025-12-26,334840.23,342699.272,18589.790644531255,-7859.042000000016
2025-12-27,503246.46,498199.065,21611.941289062503,5047.395000000019
2025-12-28,385933.99,385391.8685,18160.38570312501,542.1215000000084
2025-12-29,661035.11,660774.111,13420.060625000002,260.9989999999525
2025-12-30,614429.69,610015.592,19526.875078124995,4414.097999999998
2025-12-31,837634.65,825816.254,23830.159453125005,11818.396000000066
